hobo_id,t_avg,t_d,t_n,t_nd,t_amp,t_6h,l_avg,l_max,f_na,ref_id,ref_r2
10610854,6.17,6.586,5.754,0.832,5.351,11.727,392.9,11:30,0.048,dwd_urban,0.984
,8.321,8.48,8.162,,4.475,9.915,32.3,11:20,0.05,dwd_urban,0.968
10760709,6.021,6.405,5.637,0.768,4.971,11.607,904.2,10:40,0.073,wbi,0.977
10760710,6.348,6.544,6.152,0.392,4.452,10.089,183,13:00,0.03,wbi,0.989
10350049,6.523,6.792,6.254,0.538,6.991,17.645,581.3,12:30,0.08562,wbi,0.8566
10347327,5.190,5.705,4.674,1.031,6.585,14.369,1722.2,11:50,0.089,wbi,0.945
10347328,6.646,6.853,6.439,0.414,4.720,11.797,538.200,15:20,0.052,dwd_urban,0.979
10347313,5.467,5.955,4.979,0.976,8.491,7.344,662,13:00,0.069,wbi,0.983
10347384,5.897,6.441,5.352,1.089,6.589,11.903,1421,11:30,0.071,wbi,0.974
10347355,5.662,6.149,5.175,,6.109,13.049,968.8,13:30,0.076,uni_meteo,0.985
10801141,6.369,6.781,5.868,0.913,5.909,12.943,386.543,11:56,0.068,wbi,0.929
10347362,5.307,5.791,4.824,0.967,5.749,11.962,322.9,10:50,0.076,wbi,0.978
10350005,6.668,6.966,6.317,0.649,4.592,10.823,715.8,12:30,0.006,wbi,0.986
10760820,7.473,7.565,7.303,1.816,4.277,9.633,486.496,12:46,0.114,uni_meteo,0.96
10347394,6.1,6.469,5.731,0.738,5.571,13.209,484.4,14:40,0.115,dwd_urban,0.983
10760822,5.574,6.03,5.12,,5.828,12.759,775,12:40,0.012,wbi,0.974
10801134,6.403,6.958,5.849,1.109,6.196,12.396,366,14:20,0.098,wbi,0.9683